question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
A-004-004-001;In a series-regulated power supply, the power dissipation of the pass transistor is:;directly proportional to the load current and the input/output voltage differential;the inverse of the load current and the input/output voltage differential;dependent upon the peak inverse voltage appearing across the Zener diode;indirectly proportional to the load voltage and the input/output voltage differential;Dans un régulateur de tension série, la dissipation de puissance du transistor ballast ("pass transistor") est :;directement proportionnelle au courant dans la charge et à la différence de tension entre l'entrée et la sortie du transistor;l'inverse du courant circulant dans la charge et de la différence de tension entre l'entrée et la sortie du transistor;dépend de la tension inverse de crête apparaissant aux bornes de la diode Zener;inversement proportionnelle à la tension dans la charge et à la différence de tension entre l'entrée et la sortie du transistor
A-004-004-002;In any regulated power supply, the output is cleanest and the regulation is best:;at the point where the sampling network or error amplifier is connected;across the secondary of the pass transistor;across the load;at the output of the pass transistor;Dans toute alimentation stabilisée, la sortie est la plus pure et la régulation est la meilleure :;au point où le réseau d'échantillonnage ou l'amplificateur d'erreur est connecté;aux bornes du secondaire du transistor ballast ("pass transistor");aux bornes de la charge;à la sortie du transistor ballast ("pass transistor")
A-004-004-003;When discussing a power supply the_______ resistance is equal to the output voltage divided by the total current drawn, including the current drawn by the bleeder resistor:;load;ideal;rectifier;differential;Dans un bloc d'alimentation, la résistance __________ est égale à la tension de sortie divisée par le courant total débité, y compris le courant absorbé par la résistance de fuite ("bleeder") :;de la charge;idéale;du redresseur;différentielle
A-004-004-004;The regulation of long-term changes in the load resistance of a power supply is called:;static regulation;active regulation;analog regulation;dynamic regulation;Dans un bloc d'alimentation, la régulation des variations à long terme de la résistance de charge s'appelle :;la régulation statique;la régulation active;la régulation analogique;la régulation dynamique
A-004-004-005;The regulation of short-term changes in the load resistance of a power supply is called:;dynamic regulation;static regulation;analog regulation;active regulation;Dans un bloc d'alimentation, la régulation des variations à court terme de la résistance de charge s'appelle :;la régulation dynamique;la régulation statique;la régulation analogique;la régulation active
A-004-004-006;The dynamic regulation of a power supply is improved by increasing the value of:;the output capacitor;the choke;the input capacitor;the bleeder resistor;On peut améliorer la régulation dynamique d'une alimentation en augmentant la valeur :;du condensateur de sortie;de la bobine de filtrage;du condensateur d'entrée;de la résistance de fuite ("bleeder")
A-004-004-007;The output capacitor, in a power supply filter used to provide power for an SSB or CW transmitter, will give better dynamic regulation if:;the output capacitance is increased;the negative terminal of the electrolytic capacitor is connected to the positive and the positive terminal to ground;a battery is placed in series with the output capacitor;it is placed in series with other capacitors;Dans un bloc d'alimentation utilisé pour un émetteur BLU ou de code Morse, le condensateur de sortie donne la meilleure régulation dynamique :;lorsqu'on augmente la valeur du condensateur de sortie;lorsque la borne négative du condensateur électrolytique est connectée au positif et la borne positive à la masse;lorsqu'une batterie est branchée en série avec le condensateur de sortie;lorsqu'il est branché en série avec les autres condensateurs
A-004-004-008;In a regulated power supply, four diodes connected together in a BRIDGE act as:;a rectifier;equalization across the transformer;matching between the secondary of the power transformer and the filter;a tuning network;Dans une source d'alimentation stabilisée, quatre diodes forment un pont agissant :;de redresseur;d'égalisateur aux bornes du transformateur;d'adaptateur entre le secondaire du transformateur d'alimentation et le filtre;de réseau d'accord
A-004-004-009;In a regulated power supply, components that conduct alternating current at the input before the transformer and direct current before the output are:;fuses;capacitors;diodes;chokes;Dans une source d'alimentation stabilisée, les composants qui conduisent le courant alternatif à l'entrée, avant le transformateur, et qui conduisent le courant continu avant sa sortie sont :;des fusibles;des condensateurs;des diodes;des bobines d'arrêt
A-004-004-010;In a regulated power supply, the output of the electrolytic filter capacitor is connected to the:;voltage regulator;pi filter;solid-state by-pass circuit;matching circuit for the load;Dans une source d'alimentation stabilisée, la sortie du condensateur électrolytique de filtrage est raccordée à :;un régulateur de tension;un filtre en pi;un circuit de dérivation transistorisé;un circuit d'adaptation pour la charge
A-004-004-011;In a regulated power supply, a diode connected across the input and output terminals of a regulator is used to:;protect the regulator from reverse voltages;provide an RF by-pass for the voltage control;provide additional capacity;protect the regulator from voltage fluctuations in the primary of the transformer;Dans une source d'alimentation stabilisée, une diode raccordée entre les bornes d'entrée et de sortie d'un régulateur sert :;à protéger le régulateur contre les tensions inverses;à fournir un découplage de radiofréquences pour le contrôle de la tension;à fournir davantage de capacité;à protéger le régulateur des fluctuations de tension dans le primaire du transformateur
A-005-001-001;How is the positive feedback coupled to the input in a Hartley oscillator?;Through a tapped coil;Through a capacitive divider;Through link coupling;Through a neutralizing capacitor;Comment se fait le couplage de rétroaction positive vers l'entrée de l'oscillateur Hartley?;À travers une bobine à prise;À travers un diviseur capacitif;Par un lien de couplage;Par un condensateur de neutralisation
A-005-001-002;How is positive feedback coupled to the input in a Colpitts oscillator?;Through a capacitive divider;Through a tapped coil;Through a neutralizing capacitor;Through a link coupling;Comment se fait le couplage de rétroaction positive vers l'entrée d'un oscillateur Colpitts?;À travers un diviseur capacitif;À travers une bobine à prise;À travers un condensateur de neutralisation;À travers un lien de couplage
A-005-001-003;How is positive feedback coupled to the input in a Pierce oscillator?;Through capacitive coupling;Through a neutralizing capacitor;Through link coupling;Through a tapped coil;Comment se fait le couplage de rétroaction positive vers l'entrée d'un oscillateur Pierce?;Par un couplage capacitif;Par un condensateur de neutralisation;Par un lien de couplage;Par une bobine à prise
A-005-001-004;Why is the Colpitts oscillator circuit commonly used in a VFO?;It is stable;It can be used with or without crystal lock-in;The frequency is a linear function with load impedance;It has high output power;Pourquoi l'oscillateur Colpitts est-il souvent utilisé dans un oscillateur à fréquence variable ("VFO")?;Il est stable;Il peut être utilisé avec ou sans cristal;La fréquence est une fonction linéaire avec une charge d'impédance;Il a une grande puissance de sortie
A-005-001-005;Why must a very stable reference oscillator be used as part of a phase-locked loop (PLL) frequency synthesizer?;Any phase variations in the reference oscillator signal will produce phase noise in the synthesizer output;Any phase variations in the reference oscillator signal will produce harmonic distortion in the modulating signal;Any amplitude variations in the reference oscillator signal will prevent the loop from changing frequency;Any amplitude variations in the reference oscillator signal will prevent the loop from locking to the desired signal;Pourquoi un oscillateur de référence très stable doit-il être utilisé avec un synthétiseur de fréquence à boucle à phase asservie ("PLL")?;Parce que toute variation de phase du signal de l'oscillateur de référence produira un bruit de phase à la sortie du synthétiseur;Parce que toute variation de phase du signal de l'oscillateur de référence produira une distorsion d'harmonique dans le signal modulé;Parce que toute variation d'amplitude du signal de l'oscillateur de référence empêchera la boucle de changer de fréquence;Parce que toute variation d'amplitude du signal de l'oscillateur de référence empêchera la boucle de s'arrimer au signal désiré
A-005-001-006;Positive feedback from a capacitive divider indicates the oscillator type is:;Colpitts;Pierce;Hartley;Miller;Une rétroaction positive provenant d'un diviseur capacitif signifie que l'oscillateur est de type :;Colpitts;Pierce;Hartley;Miller
A-005-001-007;In an RF oscillator circuit designed for high stability, the positive feedback is drawn from two capacitors connected in series. These two capacitors would most likely be:;silver mica;ceramic;electrolytics;Mylar;Dans un oscillateur RF conçu pour assurer une haute stabilité, la rétroaction positive est obtenue de deux condensateurs connectés en série. Ces deux condensateurs sont vraisemblablement :;au mica argenté;en céramique;électrolytiques;au Mylar
A-005-001-008;In an oscillator circuit where positive feedback is obtained through a single capacitor in series with the crystal, the type of oscillator is:;Pierce;Colpitts;Hartley;Miller;Dans un oscillateur dans lequel la rétroaction positive est obtenue par l'intermédiaire d'un seul condensateur connecté en série avec le cristal, l'oscillateur est de type :;Pierce;Colpitts;Hartley;Miller
A-005-001-009;A circuit depending on positive feedback for its operation would be a:;variable-frequency oscillator;mixer;detector;audio amplifier;Un circuit dont le fonctionnement dépend d'une rétroaction positive pourrait être :;un oscillateur à fréquence variable;un mélangeur;un détecteur;un amplificateur audiofréquence
A-005-001-010;An apparatus with an oscillator and a class C amplifier would be:;a two-stage CW transmitter;a fixed-frequency single-sideband transmitter;a two-stage frequency-modulated transmitter;a two-stage regenerative receiver;Un appareil doté d'un oscillateur et d'un amplificateur de classe C serait :;un émetteur à ondes entretenues (CW) comprenant deux étages;un émetteur à bande latérale unique à fréquence fixe;un émetteur à modulation de fréquence à deux étages;un récepteur à réaction (régénératif) de deux étages
A-005-001-011;In an oscillator where positive feedback is provided through a capacitor in series with a crystal, that type of oscillator is a:;Pierce;Colpitts;Hartley;Franklin;L'oscillateur dans lequel la rétroaction positive est fournie par l'intermédiaire d'un condensateur connecté en série avec le cristal est de type :;Pierce;Colpitts;Hartley;Franklin
A-005-002-001;The output tuning controls on a transmitter power amplifier with an adjustable PI network:;allow efficient transfer of power to the antenna;allow switching to different antennas;reduce the possibility of cross-modulation in adjunct receivers;are involved with frequency multiplication in the previous stage;Dans un émetteur, les commandes servant à accorder la sortie d'un amplificateur de puissance muni d'un réseau d'adaptation variable de type Pi :;permettent le transfert efficace de la puissance à l'antenne;permettent la commutation entre différentes antennes;réduisent la possibilité de transmodulation dans des récepteurs connexes;permettent de régler la multiplication de fréquence dans les étages précédents
A-005-002-002;The purpose of using a centre-tap return connection on the secondary of transmitting tube's filament transformer is to:;prevent modulation of the emitted wave by the alternating current filament supply;reduce the possibility of harmonic emissions;keep the output voltage constant with a varying load;obtain optimum power output;Il y a une raison pour laquelle le circuit de retour du filament d'un tube de puissance passe par la prise médiane du transformateur qui alimente le filament. C'est :;d'empêcher le courant alternatif fourni par le filament de moduler l'onde émise;de réduire la possibilité de rayonnements harmoniques;de garder constante la tension de sortie malgré les fluctuations de la charge;d'obtenir une puissance de sortie optimale
A-005-002-003;In a grounded grid amplifier using a triode vacuum tube, the input signal is applied to:;the cathode;the plate;the control grid;the filament leads;Dans un amplificateur en grille commune utilisant une triode à vide, le signal d'entrée est appliqué :;à la cathode;à l'anode;à la grille de commande;aux bornes du filament
A-005-002-004;In a grounded grid amplifier using a triode vacuum tube, the plate is connected to the pi-network through a:;blocking capacitor;by-pass capacitor;tuning capacitor;electrolytic capacitor;Dans un amplificateur en grille commune utilisant une triode à vide, l'anode est connectée au réseau en pi par l'intermédiaire :;d'un condensateur de blocage;d'un condensateur de découplage;d'un condensateur d'accord;d'un condensateur électrolytique
A-005-002-005;In a grounded grid amplifier using a triode vacuum tube, the plate is connected to a radio frequency choke. The other end of the radio frequency choke connects to the:;B+ (high voltage);filament voltage;ground;B- (bias);Dans un amplificateur en grille commune utilisant une triode à vide, l'anode est connectée à une bobine d'arrêt RF. L'autre extrémité de la bobine d'arrêt RF est connectée à :;B+ (haute tension);la tension du filament;la masse (terre);B- (polarisation)
A-005-002-006;In a grounded grid amplifier using a triode vacuum tube, the cathode is connected to a radio frequency choke. The other end of the radio frequency choke connects to the:;B- (bias);ground;filament voltage;B+ (high voltage);Dans un amplificateur en grille commune utilisant une triode à vide, la cathode est connectée à une bobine d'arrêt RF. L'autre extrémité de la bobine d'arrêt RF est connectée à :;B- (polarisation);la masse (terre);la tension du filament;B+ (haute tension)
A-005-002-007;In a grounded grid amplifier using a triode vacuum tube, the secondary winding of a transformer is connected directly to the vacuum tube. This transformer provides:;filament voltage;B- (bias);B+ (high voltage);Screen voltage;Dans un amplificateur en grille commune utilisant une triode à vide, l'enroulement secondaire d'un transformateur est connecté directement au tube à vide. Ce transformateur fournit :;la tension du filament;B- (polarisation);B+ (haute tension);la tension d'écran
A-005-002-008;In a grounded grid amplifier using a triode vacuum tube, what would be the approximate B+ voltage required for an output of 400 watts at 400 mA with approximately 50 percent efficiency?;2000 volts;500 volts;3000 volts;1000 volts;Dans un amplificateur en grille commune utilisant une triode à vide, quelle est la tension B+ nécessaire pour produire une sortie de 400 watts à 400 mA lorsque le rendement est d'environ 50 %?;2 000 volts;500 volts;3 000 volts;1 000 volts
A-005-002-009;In a grounded grid amplifier using a triode vacuum tube, each side of the filament is connected to a capacitor whose other end is connected to ground. These are:;by-pass capacitors;tuning capacitors;electrolytic capacitors;blocking capacitors;Dans un amplificateur en grille commune utilisant une triode à vide, chaque côté du filament est connecté à un condensateur dont l'autre extrémité est reliée à la masse. Il s'agit de :;condensateurs de découplage;condensateurs d'accord;condensateurs électrolytiques;condensateurs de blocage
A-005-002-010;After you have opened a VHF power amplifier to make internal tuning adjustments, what should you do before you turn the amplifier on?;Be certain all amplifier shielding is fastened in place;Make sure that the power interlock switch is bypassed so you can test the amplifier;Be certain no antenna is attached so that you will not cause any interference;Remove all amplifier shielding to ensure maximum cooling;Après avoir ouvert l'amplificateur RF d'un appareil VHF pour faire des ajustements internes, quelles précautions devriez-vous prendre avant de vous servir de l'appareil?;Vous assurer que tous les blindages de l'amplificateur ont été remis en place;Vous assurer que l'interrupteur de verrouillage ("interlock switch") est contourné afin de pouvoir vérifier l'amplificateur;Vous assurer qu'aucune antenne n'est reliée à l'émetteur afin d'éviter toute interférence;Enlever les blindages de l'amplificateur afin de permettre un meilleur refroidissement
A-005-002-011;Harmonics produced in an early stage of a transmitter may be reduced in a later stage by:;tuned circuit coupling between stages;larger value coupling capacitors;greater input to the final stage;transistors instead of tubes;Les harmoniques produits dans un des premiers étages d'un émetteur peuvent être atténués dans un étage suivant :;en utilisant des couplages par circuits accordés entre les étages;en utilisant des condensateurs de couplage avec une capacité plus grande;en appliquant un signal plus important à l'entrée de l'étage final;en remplaçant les tubes par des transistors
A-005-003-001;In a simple 2 stage CW transmitter circuit, the oscillator stage and the class C amplifier stage are inductively coupled by a RF transformer. Another role of the RF transformer is to:;be part of a tuned circuit;act as part of a pi filter;provide the necessary feedback for oscillation;act as part of a balanced mixer;Dans un émetteur élémentaire à ondes entretenues (CW) comportant deux étages, l'étage de l'oscillateur et l'étage de l'amplificateur de classe C sont couplés inductivement par un transformateur RF. Un autre rôle du transformateur RF est :;de faire partie d'un circuit résonant;d'agir comme partie d'un filtre en pi;de fournir la rétroaction nécessaire à l'oscillation;d'agir comme partie d'un mélangeur équilibré
A-005-003-002;In a simple 2 stage CW transmitter, current to the collector of the transistor in the class C amplifier stage flows through a radio frequency choke (RFC) and a tapped inductor. The RFC, on the tapped inductor side, is also connected to grounded capacitors. The purpose of the RFC and capacitors is to:;form a low-pass filter;provide negative feedback;form a key-click filter;form a RF-tuned circuit;Dans un émetteur élémentaire à ondes entretenues (CW) comportant deux étages, le courant allant au collecteur du transistor dans l'étage de l'amplificateur de classe C circule dans une bobine d'arrêt RF et dans une bobine à prises. La bobine d'arrêt RF est aussi connectée, du côté de la bobine à prises, à des condensateurs mis à la masse. La bobine d'arrêt RF et les condensateurs servent à :;former un filtre passe-bas;fournir la rétroaction négative;former un filtre de claquements de manipulation;former un circuit résonant RF
A-005-003-003;In a simple 2 stage CW transmitter, the transistor in the second stage would act as:;a power amplifier;a frequency multiplier;the master oscillator;an audio oscillator;Dans un émetteur élémentaire à ondes entretenues (CW) comportant deux étages, le transistor du deuxième étage sert :;d'amplificateur de puissance;de multiplicateur de fréquence;de maître oscillateur;d'oscillateur audio
A-005-003-004;An advantage of keying the buffer stage in a transmitter is that:;changes in oscillator frequency are less likely;key clicks are eliminated;the radiated bandwidth is restricted;high RF voltages are not present;L'un des avantages qu'il y a à manipuler l'étage tampon d'un émetteur est :;que les variations de fréquence de l'oscillateur sont peu probables;que les claquements de manipulation sont éliminés;que la largeur de bande rayonnée est restreinte;qu'il n'y a pas de fortes tensions RF
A-005-003-005;As a power amplifier is tuned, what reading on its grid current meter indicates the best neutralization?;A minimum change in grid current as the output circuit is changed;Minimum grid current;Maximum grid current;A maximum change in grid current as the output circuit is changed;Quand l'on varie la syntonisation d'un amplificateur de puissance, quelle lecture de courant de grille indique la meilleure neutralisation?;Un changement minimal dans le courant de la grille lorsque le circuit de sortie est changé;Un courant minimal de grille;Un courant maximal de grille;Un changement maximal dans le courant de la grille lorsque le circuit de sortie est changé
A-005-003-006;What does a neutralizing circuit do in an RF amplifier?;It cancels the effects of positive feedback;It eliminates AC hum from the power supply;It reduces incidental grid modulation;It controls differential gain;Que fait un circuit de neutralisation dans un amplificateur RF?;Il annule les effets de rétroaction positive;Il élimine le ronflement CA produit par le bloc d'alimentation;Il réduit la modulation produite accidentellement par la grille;Il contrôle le gain différentiel
A-005-003-007;What is the reason for neutralizing the final amplifier stage of a transmitter?;To eliminate parasitic oscillations;To limit the modulation index;To cut off the final amplifier during standby periods;To keep the carrier on frequency;Dans un émetteur, pourquoi neutraliser l'étage final d'amplification?;Pour éliminer les oscillations parasites;Pour limiter l'indice de modulation;Pour couper l'amplificateur de puissance pendant les périodes d'attente;Pour garder la porteuse sur la fréquence
A-005-003-008;Parasitic oscillations are usually generated due to:;accidental resonant frequencies in the power amplifier;harmonics from some earlier multiplier stage;excessive drive or excitation to the power amplifier;a mismatch between power amplifier and transmission line;Les oscillations parasites sont généralement provoquées par :;des résonances accidentelles dans l'amplificateur de puissance;la présence d'harmoniques produits dans les étages de multiplication précédents;un signal d'attaque ou d'excitation trop important appliqué à l'entrée de l'amplificateur de puissance;un défaut d'adaptation entre l'amplificateur de puissance et la ligne de transmission
A-005-003-009;Parasitic oscillations would tend to occur mostly in:;RF power output stages;high gain audio output stages;high voltage rectifiers;mixer stages;Les oscillations parasites ont généralement tendance à prendre naissance dans :;les amplificateurs de puissance RF;les étages de sortie audio à gain élevé;les redresseurs à haute tension;les étages mélangeurs
A-005-003-010;Why is neutralization necessary for some vacuum-tube amplifiers?;To cancel oscillation caused by the effects of interelectrode capacitance;To reduce grid-to-cathode leakage;To cancel AC hum from the filament transformer;To reduce the limits of loaded Q;Pourquoi est-il nécessaire de neutraliser certains amplificateurs à tubes à vide?;Pour annuler l'oscillation produite par les effets de la capacité interélectrode;Pour réduire les fuites entre la grille et la cathode;Pour annuler le ronflement CA venant du transformateur alimentant le filament;Pour réduire les limites du facteur Q sous charge ("Loaded Q")
A-005-003-011;Parasitic oscillations in an RF power amplifier may be caused by:;lack of neutralization;overdriven stages;poor voltage regulation;excessive harmonic production;La production d'oscillations parasites dans un amplificateur de puissance RF peut être provoquée par :;le fait que cet étage n'a pas été neutralisé;des signaux d'attaque trop forts sur les étages;une régulation de tension déficiente;une production excessive d'harmoniques
A-005-004-001;What type of signal does a balanced modulator produce?;Double sideband, suppressed carrier;FM with balanced deviation;Full carrier;Single sideband, suppressed carrier;Quel genre de signal est produit par un modulateur équilibré?;Un signal à double bande latérale, porteuse supprimée;Un signal FM avec une excursion de fréquence équilibrée;Une porteuse complète;Un signal à bande latérale unique, porteuse supprimée
A-005-004-002;How can a single-sideband phone signal be produced?;By using a balanced modulator followed by a filter;By driving a product detector with a DSB signal;By using a loop modulator followed by a mixer;By using a reactance modulator followed by a mixer;Comment peut-on produire un signal à bande latérale unique en phonie?;En utilisant un modulateur équilibré suivi d'un filtre;En utilisant un détecteur de produit avec un signal à double bande latérale;En utilisant un modulateur à boucle suivi d'un mélangeur;En utilisant un modulateur à réactance suivi d'un filtre
A-005-004-003;Carrier suppression in a single-sideband transmitter takes place in:;the balanced modulator stage;the carrier decouple stage;the mechanical filter;the frequency multiplier stage;Pour un émetteur à bande latérale unique, la suppression de la porteuse se produit dans :;l'étage du modulateur équilibré;l'étage de découplage de la porteuse;le filtre mécanique;l'étage multiplicateur de fréquence
A-005-004-004;Transmission with SSB, as compared to conventional AM transmission, results in:;6 dB gain in the transmitter and 3 dB gain in the receiver;6 dB gain in the receiver;a greater bandpass requirement in the receiver;3 dB gain in the transmitter;Comparativement à l'émission AM ordinaire, l'émission en BLU :;donne un gain de 6 dB dans l'émetteur et un gain de 3 dB dans le récepteur;donne un gain de 6 dB dans le récepteur;exige une bande passante plus large dans le récepteur;donne un gain de 3 dB dans l'émetteur
A-005-004-005;The peak power output of a single-sideband transmitter, when being tested by a two-tone generator is:;twice the RF power output of any of the tones;equal to the RF peak output power of any of the tones;one-half of the RF peak output power of any of the tones;one-quarter of the RF peak output power of any of the tones;Lorsqu'on vérifie un émetteur à bande latérale unique au moyen d'un générateur à deux tonalités, la puissance de sortie mesurée à la crête est égale à :;deux fois la puissance de sortie RF de l'une ou l'autre des deux tonalités;la puissance de sortie RF mesurée à la crête de l'une ou l'autre des deux tonalités;la moitié de la puissance de sortie RF mesurée à la crête de l'une ou l'autre des deux tonalités;un quart de la puissance de sortie de crête RF de l'une ou l'autre des deux tonalités
A-005-004-006;What kind of input signal is used to test the amplitude linearity of a single-sideband phone transmitter while viewing the output on an oscilloscope?;Two audio-frequency sine waves;An audio-frequency sine wave;An audio-frequency square wave;Normal speech;Quelle sorte de signal d'entrée utilise-t-on pour tester la linéarité d'un émetteur BLU utilisé pour la phonie pendant qu'on observe le signal émis sur un oscilloscope?;Deux signaux sinusoïdaux de fréquence audio;Un signal sinusoïdal de fréquence audio;Une onde carrée de fréquence audio;La voix normale
A-005-004-007;When testing the amplitude linearity of a single-sideband transmitter what audio tones are fed into the microphone input and on what kind of kind of instrument is the output observed?;Two non-harmonically related tones are fed in, and the output is observed on an oscilloscope;Two harmonically related tones are fed in, and the output is observed on an oscilloscope;Two harmonically related tones are fed in, and the output is observed on a distortion analyzer;Two non-harmonically related tones are fed in, and the output is observed on a distortion analyzer;Pour tester la linéarité d'un émetteur BLU, quelle sorte de signaux audio doit-on appliquer à l'entrée du microphone et sur quelle sorte d'instrument peut-on en observer la sortie?;Il faut utiliser deux signaux sans relation harmonique et observer la sortie sur un oscilloscope;Il faut utiliser deux signaux en relation harmonique et observer la sortie sur un oscilloscope;Il faut utiliser deux signaux en relation harmonique et observer la sortie sur un analyseur de distorsion;Il faut utiliser deux signaux sans relation harmonique et observer la sortie sur un analyseur de distorsion
A-005-004-008;What audio frequencies are used in a two-tone test of the linearity of a single-sideband phone transmitter?;Any two audio tones may be used, but they must be within the transmitter audio passband, and should not be harmonically related;20 Hz and 20 kHz tones must be used;1200 Hz and 2400 Hz tones must be used;Any two audio tones may be used, but they must be within the transmitter audio passband, and must be harmonically related;Quels signaux audio faut-il employer pour un test à deux tonalités d'un émetteur BLU utilisé en phonie?;Deux signaux audio quelconques à l'intérieur de la bande passante de l'émetteur et sans relation harmonique entre eux;Des tonalités à 20 Hz et 20 kHz doivent être utilisées;Un signal à 1200 Hz et un autre signal à 2400 Hz;Deux signaux audio quelconques à l'intérieur de la bande passante de l'émetteur et en relation harmonique entre eux
A-005-004-009;What measurement can be made of a single-sideband phone transmitter's amplifier by performing a two-tone test using an oscilloscope?;Its linearity;Its frequency deviation;Its percent of carrier phase shift;Its percent of frequency modulation;Qu'est-il possible de mesurer dans l'amplificateur d'un émetteur BLU utilisé pour la phonie lorsqu'on fait un test à deux tonalités à l'aide d'un oscilloscope?;Sa linéarité;Son excursion de fréquence;Le pourcentage de déplacement de phase de la porteuse;Le pourcentage de sa modulation de fréquence
A-005-004-010;How much is the carrier suppressed below peak output power in a single-sideband phone transmission?;At least 40 dB;No more than 20 dB;No more than 30 dB;At least 60 dB;Dans une transmission BLU en phonie, de combien de décibels la porteuse est-elle supprimée par rapport à la puissance crête de sortie?;Au moins 40 dB;Pas plus de 20 dB;Pas plus de 30 dB;Au moins 60 dB
A-005-004-011;What is meant by "flat topping" in a single-sideband phone transmission?;Signal distortion caused by excessive drive;Signal distortion caused by insufficient collector current;The transmitter's automatic level control is properly adjusted;The transmitter's carrier is properly suppressed;Que signifie l'expression "écrêtage du signal" ("flat topping") en parlant d'émission BLU en phonie?;Il s'agit de la distorsion du signal due à un signal d'attaque excessif;Il s'agit de la distorsion du signal due au faible courant du collecteur;Dans l'émetteur, la commande automatique de niveau ("ALC") est bien ajustée;La porteuse est bien supprimée
A-005-005-001;In an FM phone signal having a maximum frequency deviation of 3000 Hz either side of the carrier frequency, what is the modulation index, when the modulating frequency is 1000 Hz?;3;0.3;3000;1000;Si un signal FM a une excursion maximale de fréquence de 3 000 Hz de part et d'autre de la fréquence porteuse lorsque la fréquence modulante est de 1 000 Hz, quel est l'indice de modulation?;3;0,3;3 000;1 000
A-005-005-002;What is the modulation index of an FM phone transmitter producing an instantaneous carrier deviation of 6 kHz when modulated with a 2 kHz modulating frequency?;3;0.333;2000;6000;Quel est l'indice de modulation d'un émetteur FM produisant une excursion instantanée de 6 kHz lorsque la fréquence modulante est de 2 kHz?;3;0,333;2 000;6 000
A-005-005-003;What is the deviation ratio of an FM phone transmitter having a maximum frequency swing of plus or minus 5 kHz and accepting a maximum modulation rate of 3 kHz?;1.66;60;0.16;0.6;Quel est le facteur d'excursion ("deviation ratio") d'un émetteur FM en phonie ayant une excursion maximale de fréquence de plus ou moins 5 kHz et dont la fréquence modulante maximale est de 3 kHz?;1,66;60;0,16;0,6
A-005-005-004;What is the deviation ratio of an FM phone transmitter having a maximum frequency swing of plus or minus 7.5 kHz and accepting a maximum modulation rate of 3.5 kHz?;2.14;0.47;47;0.214;Quel est le facteur d'excursion ("deviation ratio") d'un émetteur FM en phonie ayant une excursion maximale de fréquence de plus ou moins 7,5 kHz et dont la fréquence modulante maximale est de 3,5 kHz?;2,14;0,47;47;0,214
A-005-005-005;When the transmitter is not modulated, or the amplitude of the modulating signal is zero, the frequency of the carrier is called its:;centre frequency;frequency deviation;frequency shift;modulating frequency;Lorsque l'émetteur n'est pas modulé ou que l'amplitude du signal de modulation est égale à zéro, la fréquence de la porteuse s'appelle :;la fréquence centrale;l'excursion de fréquence;le déplacement de fréquence;la fréquence de modulation
A-005-005-006;In an FM transmitter system, the amount of deviation from the centre frequency is determined solely by the:;amplitude of the modulating frequency;frequency of the modulating frequency;amplitude and the frequency of the modulating frequency;modulating frequency and the amplitude of the centre frequency;Dans un émetteur FM, l'importance de l'excursion de fréquence par rapport à la fréquence centrale est déterminée seulement par :;l'amplitude du signal de modulation;la fréquence du signal de modulation;l'amplitude et la fréquence du signal de modulation;la fréquence du signal de modulation et l'amplitude de la fréquence centrale
A-005-005-007;Any FM wave with single-tone modulation has:;an infinite number of sideband frequencies;two sideband frequencies;four sideband frequencies;one sideband frequency;Toute onde FM modulée par une tonalité unique a :;un nombre infini de fréquences de bande latérale;deux fréquences de bande latérale;quatre fréquences de bande latérale;une fréquence de bande latérale
A-005-005-008;Some types of deviation meters work on the principle of:;a carrier null and multiplying the modulation frequency by the modulation index;detecting the frequencies in the sidebands;the amplitude of power in the sidebands;a carrier peak and dividing by the modulation index;Certains excursiomètres ("deviation meter") fonctionnent sur le principe suivant :;une réponse nulle à la fréquence porteuse et le produit de la fréquence de modulation par l'indice de modulation;la détection des fréquences contenues dans les bandes latérales;l'amplitude de la puissance dans les bandes latérales;une réponse maximale à la fréquence porteuse divisée par l'indice de modulation
A-005-005-009;When using some deviation meters, it is important to know:;modulating frequency and the modulation index;modulation index;modulating frequency;pass-band of the IF filter;Lorsqu'on utilise certains excursiomètres ("deviation meter"), il est important de connaître :;la fréquence de modulation et l'indice de modulation;l'indice de modulation;la fréquence de modulation;la bande passante du filtre FI
A-005-005-010;What is the significant bandwidth of an FM-phone transmission having a +/- 5-kHz deviation and a 3-kHz modulating frequency?;16 kHz;8 kHz;5 kHz;3 kHz;Quelle est la largeur de bande essentielle d'une émission FM en phonie si la fréquence de modulation est de 3 kHz et que l'excursion de fréquence est de +/- 5 kHz?;16 kHz;8 kHz;5 kHz;3 kHz
A-005-005-011;What is the frequency deviation for a 12.21-MHz reactance-modulated oscillator in a +/- 5-kHz deviation, 146.52-MHz FM-phone transmitter?;+/- 416.7 Hz;+/- 12 kHz;+/- 5 kHz;+/- 41.67 Hz;Quelle excursion de fréquence doit-on imposer sur un oscillateur tournant à 12,21 MHz dans un émetteur FM dont la sortie est de 146,52 MHz avec +/- 5 kHz d'excursion?;+/- 416,7 Hz;+/- 12 kHz;+/- 5 kHz;+/- 41,67 Hz
